ID	string	anas	feature	lemma	hfstana	pos	chunk	depType	depTarget	cons	NER
<s>
96	nekünk	{ana=mi[/N|Pro]+neki[Dat]=nek+ünk[1Pl]=ünk, feats=[/N|Pro][Dat][1Pl], lemma=mi, readable_ana=mi[/N|Pro] + neki[Dat]=nek + ünk[1Pl]}	SubPOS=c|Num=s|Cas=g|NumP=none|PerP=none|NumPd=none	mi	[/N|Pro][Dat][1Pl]	N	1-NP	DAT	94	(CP(NP*)	O	
98	te	{ana=te[/N|Pro]=te+[2Sg]+[Nom], feats=[/N|Pro][2Sg][Nom], lemma=te, readable_ana=te[/N|Pro] + [2Sg] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	te	[/N|Pro][2Sg][Nom]	N	1-NP	SUBJ	102	(NP*)	O	
100	ne	{ana=ne[/Adv]=ne, feats=[/Adv], lemma=ne, readable_ana=ne[/Adv]};{ana=ne[/Inj-Utt]=ne, feats=[/Inj-Utt], lemma=ne, readable_ana=ne[/Inj-Utt]}	SubPOS=x|Deg=none|Num=none|Per=none	ne	[/Adv]	Adv	O	NEG	102	(NEG*)	O	
102	ugass	{ana=ugat[/V]=ugas+s[Sbjv.NDef.2Sg]=s, feats=[/V][Sbjv.NDef.2Sg], lemma=ugat, readable_ana=ugat[/V]=ugas + s[Sbjv.NDef.2Sg]}	SubPOS=m|Mood=i|Tense=s|Per=none|Num=none|Def=none	ugat	[/V][Sbjv.NDef.2Sg]	V	O	ATT	94	*)	O	
103	!		_	!	OTHER	!	O	ATT	105	*	O	
105	(		_	(	OTHER	(	O	ATT	111	(XP*	O	
107	vau	{ana=vau[/Inj-Utt]=vau, feats=[/Inj-Utt], lemma=vau, readable_ana=vau[/Inj-Utt]};{ana=vau[/N]=vau+[Nom], feats=[/N][Nom], lemma=vau, readable_ana=vau[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	vau	[/N][Nom]	N	O	ATT	111	(NP*)	O	
108	,		_	,	OTHER	,	O	ATT	111	*	O	
109	vau	{ana=vau[/Inj-Utt]=vau, feats=[/Inj-Utt], lemma=vau, readable_ana=vau[/Inj-Utt]};{ana=vau[/N]=vau+[Nom], feats=[/N][Nom], lemma=vau, readable_ana=vau[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	vau	[/N][Nom]	N	O	ATT	111	(NP*)	O	
110	,		_	,	OTHER	,	O	ATT	111	*	O	
111	vau	{ana=vau[/Inj-Utt]=vau, feats=[/Inj-Utt], lemma=vau, readable_ana=vau[/Inj-Utt]};{ana=vau[/N]=vau+[Nom], feats=[/N][Nom], lemma=vau, readable_ana=vau[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	vau	[/N][Nom]	N	O	APPEND	102	(NP*)	O	
113	)		_	)	OTHER	)	O	ATT	111	*)	O	
115	Nekünk	{ana=mi[/N|Pro]+neki[Dat]=nek+ünk[1Pl]=ünk, feats=[/N|Pro][Dat][1Pl], lemma=mi, readable_ana=mi[/N|Pro] + neki[Dat]=nek + ünk[1Pl]}	SubPOS=c|Num=s|Cas=g|NumP=none|PerP=none|NumPd=none	mi	[/N|Pro][Dat][1Pl]	N	1-NP	DAT	102	(CP(NP*)	O	
117	te	{ana=te[/N|Pro]=te+[2Sg]+[Nom], feats=[/N|Pro][2Sg][Nom], lemma=te, readable_ana=te[/N|Pro] + [2Sg] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	te	[/N|Pro][2Sg][Nom]	N	1-NP	SUBJ	121	(NP*)	O	
119	ne	{ana=ne[/Adv]=ne, feats=[/Adv], lemma=ne, readable_ana=ne[/Adv]};{ana=ne[/Inj-Utt]=ne, feats=[/Inj-Utt], lemma=ne, readable_ana=ne[/Inj-Utt]}	SubPOS=x|Deg=none|Num=none|Per=none	ne	[/Adv]	Adv	O	NEG	121	(NEG*)	O	
121	ugass	{ana=ugat[/V]=ugas+s[Sbjv.NDef.2Sg]=s, feats=[/V][Sbjv.NDef.2Sg], lemma=ugat, readable_ana=ugat[/V]=ugas + s[Sbjv.NDef.2Sg]}	SubPOS=m|Mood=i|Tense=s|Per=none|Num=none|Def=none	ugat	[/V][Sbjv.NDef.2Sg]	V	O	COORD	94	(NP*)	O	
122	,		_	,	OTHER	,	O	ATT	95	*	O	
123	nekünk	{ana=mi[/N|Pro]+neki[Dat]=nek+ünk[1Pl]=ünk, feats=[/N|Pro][Dat][1Pl], lemma=mi, readable_ana=mi[/N|Pro] + neki[Dat]=nek + ünk[1Pl]}	SubPOS=c|Num=s|Cas=g|NumP=none|PerP=none|NumPd=none	mi	[/N|Pro][Dat][1Pl]	N	1-NP	DAT	121	(CP(NP*)	O	
125	te	{ana=te[/N|Pro]=te+[2Sg]+[Nom], feats=[/N|Pro][2Sg][Nom], lemma=te, readable_ana=te[/N|Pro] + [2Sg] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	te	[/N|Pro][2Sg][Nom]	N	1-NP	SUBJ	129	(NP*)	O	
127	ne	{ana=ne[/Adv]=ne, feats=[/Adv], lemma=ne, readable_ana=ne[/Adv]};{ana=ne[/Inj-Utt]=ne, feats=[/Inj-Utt], lemma=ne, readable_ana=ne[/Inj-Utt]}	SubPOS=x|Deg=none|Num=none|Per=none	ne	[/Adv]	Adv	O	NEG	129	(NEG*)	O	
129	ugass	{ana=ugat[/V]=ugas+s[Sbjv.NDef.2Sg]=s, feats=[/V][Sbjv.NDef.2Sg], lemma=ugat, readable_ana=ugat[/V]=ugas + s[Sbjv.NDef.2Sg]}	SubPOS=m|Mood=i|Tense=s|Per=none|Num=none|Def=none	ugat	[/V][Sbjv.NDef.2Sg]	V	O	ATT	121	*))	O	
130	!		_	!	OTHER	!	O	ATT	132	*	O	
132	(		_	(	OTHER	(	O	ATT	138	(XP*	O	
134	vau	{ana=vau[/Inj-Utt]=vau, feats=[/Inj-Utt], lemma=vau, readable_ana=vau[/Inj-Utt]};{ana=vau[/N]=vau+[Nom], feats=[/N][Nom], lemma=vau, readable_ana=vau[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	vau	[/N][Nom]	N	O	ATT	138	(NP*)	O	
135	,		_	,	OTHER	,	O	ATT	138	*	O	
136	vau	{ana=vau[/Inj-Utt]=vau, feats=[/Inj-Utt], lemma=vau, readable_ana=vau[/Inj-Utt]};{ana=vau[/N]=vau+[Nom], feats=[/N][Nom], lemma=vau, readable_ana=vau[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	vau	[/N][Nom]	N	O	ATT	138	(NP*)	O	
137	,		_	,	OTHER	,	O	ATT	138	*	O	
138	vau	{ana=vau[/Inj-Utt]=vau, feats=[/Inj-Utt], lemma=vau, readable_ana=vau[/Inj-Utt]};{ana=vau[/N]=vau+[Nom], feats=[/N][Nom], lemma=vau, readable_ana=vau[/N] + [Nom]}	SubPOS=c|Num=s|Cas=n|NumP=none|PerP=none|NumPd=none	vau	[/N][Nom]	N	O	APPEND	129	(NP*)	O	
140	)		_	)	OTHER	)	O	ATT	138	*)))	O	
</s>
<s>
143	Mindent	{ana=minden[/N|Pro]=minden+t[Acc]=t, feats=[/N|Pro][Acc], lemma=minden, readable_ana=minden[/N|Pro] + t[Acc]}	SubPOS=c|Num=s|Cas=a|NumP=none|PerP=none|NumPd=none	minden	[/N|Pro][Acc]	N	1-NP	OBJ	145	(ROOT(CP(CP(NP*)	O	
145	akarok	{ana=akar[/V]=akar+ok[Prs.NDef.1Sg]=ok, feats=[/V][Prs.NDef.1Sg], lemma=akar, readable_ana=akar[/V] + ok[Prs.NDef.1Sg]}	SubPOS=m|Mood=i|Tense=s|Per=none|Num=none|Def=none	akar	[/V][Prs.NDef.1Sg]	V	O			(V_(V0*)))	O	
146	,		_	,	OTHER	,	O	ATT	145	*	O	
147	de	{ana=de[/Adv]=de, feats=[/Adv], lemma=de, readable_ana=de[/Adv]};{ana=de[/Cnj]=de, feats=[/Cnj], lemma=de, readable_ana=de[/Cnj]};{ana=de[/X]=de, feats=[/X], lemma=de, readable_ana=de[/X]}	SubPOS=c|Form=s|Coord=w	de	[/Cnj]	Cnj	O	CONJ	145	(C0*)	O	
149	azt	{ana=az[/Det|Pro]=az+t[Acc]=t, feats=[/Det|Pro][Acc], lemma=az, readable_ana=az[/Det|Pro] + t[Acc]};{ana=az[/N|Pro]=az+t[Acc]=t, feats=[/N|Pro][Acc], lemma=az, readable_ana=az[/N|Pro] + t[Acc]}	SubPOS=f	az	[/Det|Pro][Acc]	Det	1-NP	OBJ	157	(CP(NP*)	O	
151	most	{ana=most[/Adv]=most, feats=[/Adv], lemma=most, readable_ana=most[/Adv]}	SubPOS=x|Deg=none|Num=none|Per=none	most	[/Adv]	Adv	O	TLOCY	157	(ADVP*)	O	
